3062: /app/bin/hmi 0
Address		  Kbytes     PSS   Dirty    Swap  Mode  Mapping
0000007f00000000    1032    1032    1032       0  rw-p    [ anon ]
0000007f00102000   64504       0       0       0  ---p    [ anon ]
0000007f04000000     688     688     688       0  rw-p    [ anon ]
0000007f040ac000   64848       0       0       0  ---p    [ anon ]
0000007f08000000     228     228     228       0  rw-p    [ anon ]
0000007f08039000   65308       0       0       0  ---p    [ anon ]
0000007f0c000000     376     372     372       0  rw-p    [ anon ]
0000007f0c05e000   65160       0       0       0  ---p    [ anon ]
0000007f10000000     536     536     536       0  rw-p    [ anon ]
0000007f10086000   65000       0       0       0  ---p    [ anon ]
0000007f14000000       4       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14001000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14005000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14007000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1400b000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14011000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1401b000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14021000      64      40      40       0  rw-s  /dev/kgsl-3d0
0000007f14031000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14037000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14039000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1403b000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1403d000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14043000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14045000      64      64      64       0  rw-s  /dev/kgsl-3d0
0000007f14055000      64      56      56       0  rw-s  /dev/kgsl-3d0
0000007f14066000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14068000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1406a000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14070000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14072000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14076000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14078000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1407c000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1407e000      32      24      24       0  rw-s  /dev/kgsl-3d0
0000007f14086000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14088000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1408a000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1408c000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14090000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14092000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14096000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1409a000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140a0000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140a2000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140a4000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140a8000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007f140c8000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140ca000       4       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140cb000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140cd000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140cf000      64      48      48       0  rw-s  /dev/kgsl-3d0
0000007f140df000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140e1000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140e3000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140e9000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140eb000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140ed000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140ef000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140f1000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140f3000      32      28      28       0  rw-s  /dev/kgsl-3d0
0000007f140fb000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f140fd000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14101000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14103000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14105000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14107000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14109000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1410b000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1410d000     128      80      80       0  rw-s  /dev/kgsl-3d0
0000007f1412d000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1412f000      32      28      28       0  rw-s  /dev/kgsl-3d0
0000007f14137000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14139000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1413b000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1413d000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f1413f000      64      64      64       0  rw-s  /dev/kgsl-3d0
0000007f1414f000      64      64      64       0  rw-s  /dev/kgsl-3d0
0000007f1415f000      64      64      64       0  rw-s  /dev/kgsl-3d0
0000007f1416f000      64      40      40       0  rw-s  /dev/kgsl-3d0
0000007f1417f000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14181000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007f14183000       8       4       4       0  rw-s  /dev/kgsl-3d0
