3791: mediaservice 0 0
Address		  Kbytes     PSS   Dirty    Swap  Mode  Mapping
0000007f8a3d0000    8192      24      24       0  rw-p    [ anon ]
0000007f8abd0000      16       5       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstapetag.so
0000007f8abd4000      60       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstapetag.so
0000007f8abe3000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstapetag.so
0000007f8abe4000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstapetag.so
0000007f8abe5000     108      35       0       0  r-xp  /usr/lib/gconv/GBK.so
0000007f8ac00000      64       0       0       0  ---p  /usr/lib/gconv/GBK.so
0000007f8ac10000       4       4       4       0  r--p  /usr/lib/gconv/GBK.so
0000007f8ac11000       4       4       4       0  rw-p  /usr/lib/gconv/GBK.so
0000007f8ac12000     376     125       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstcoreelements.so
0000007f8ac70000      64       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstcoreelements.so
0000007f8ac80000       8       8       8       0  r--p  /usr/lib/gstreamer-1.0/libgstcoreelements.so
0000007f8ac82000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstcoreelements.so
0000007f8ac83000     560     186       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstplayback.so
0000007f8ad0f000      64       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstplayback.so
0000007f8ad1f000       8       8       8       0  r--p  /usr/lib/gstreamer-1.0/libgstplayback.so
0000007f8ad21000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstplayback.so
0000007f8ad22000       4       0       0       0  ---p    [ anon ]
0000007f8ad23000    8192      40      40       0  rw-p    [ anon ]
0000007f8b523000       4       0       0       0  ---p    [ anon ]
0000007f8b524000    8192      12      12       0  rw-p    [ anon ]
0000007f8bd24000       4       0       0       0  ---p    [ anon ]
0000007f8bd25000    8192      36      36       0  rw-p    [ anon ]
0000007f8c525000       4       2       0       0  rw-s  /SYSV16333333
0000007f8c526000       4       0       0       0  ---p    [ anon ]
0000007f8c527000    8192       8       8       0  rw-p    [ anon ]
0000007f8cd27000       4       0       0       0  ---p    [ anon ]
0000007f8cd28000    8192      12      12       0  rw-p    [ anon ]
0000007f8d528000       4       0       0       0  ---p    [ anon ]
0000007f8d529000    8192       8       8       0  rw-p    [ anon ]
0000007f8dd29000       4       0       0       0  rw-s  /SYSV0fe00101
0000007f8dd2a000       4       0       0       0  ---p    [ anon ]
0000007f8dd2b000    8192      12      12       0  rw-p    [ anon ]
0000007f8e52b000       4       0       0       0  rw-s  /SYSV5c0a0005
0000007f8e52c000      32       3       0       0  r-xp  /lib/libnss_compat-2.31.so
0000007f8e534000      60       0       0       0  ---p  /lib/libnss_compat-2.31.so
0000007f8e543000       4       4       4       0  r--p  /lib/libnss_compat-2.31.so
0000007f8e544000       4       4       4       0  rw-p  /lib/libnss_compat-2.31.so
0000007f8e545000       4       0       0       0  ---p    [ anon ]
0000007f8e546000    8192      36      36       0  rw-p    [ anon ]
0000007f8ed46000       4       0       0       0  ---p    [ anon ]
0000007f8ed47000    8192       8       8       0  rw-p    [ anon ]
0000007f8f547000       4       0       0       0  ---p    [ anon ]
0000007f8f548000    8192      12      12       0  rw-p    [ anon ]
0000007f8fd48000       4       0       0       0  ---p    [ anon ]
0000007f8fd49000    8192      16      16       0  rw-p    [ anon ]
0000007f90549000       4       0       0       0  ---p    [ anon ]
0000007f9054a000    8192      12      12       0  rw-p    [ anon ]
0000007f90d4a000       4       0       0       0  ---p    [ anon ]
0000007f90d4b000    8192      16      16       0  rw-p    [ anon ]
0000007f9154b000       4       0       0       0  rw-s  /SYSV0fe00112
0000007f9154c000       4       0       0       0  rw-s  /SYSV0fe00112
0000007f9154d000      76      68      68       0  rw-p    [ anon ]
0000007f91560000     184       2       0       0  r-xp  /lib/libudev.so.1.6.16
0000007f9158e000      60       0       0       0  ---p  /lib/libudev.so.1.6.16
0000007f9159d000       4       4       4       0  r--p  /lib/libudev.so.1.6.16
0000007f9159e000       4       4       4       0  rw-p  /lib/libudev.so.1.6.16
0000007f9159f000       8       0       0       0  r-xp  /usr/lib/libion.so.0.0.0
0000007f915a1000      60       0       0       0  ---p  /usr/lib/libion.so.0.0.0
0000007f915b0000       4       4       4       0  r--p  /usr/lib/libion.so.0.0.0
0000007f915b1000       4       4       4       0  rw-p  /usr/lib/libion.so.0.0.0
0000007f915b2000       8       8       8       0  rw-p    [ anon ]
0000007f915b4000       8       0       0       0  r-xp  /usr/lib/libsync.so.0.0.0
0000007f915b6000      60       0       0       0  ---p  /usr/lib/libsync.so.0.0.0
0000007f915c5000       4       4       4       0  r--p  /usr/lib/libsync.so.0.0.0
0000007f915c6000       4       4       4       0  rw-p  /usr/lib/libsync.so.0.0.0
0000007f915c7000      76       8       0       0  r-xp  /usr/lib/libwayland-server.so.0.1.0
0000007f915da000      60       0       0       0  ---p  /usr/lib/libwayland-server.so.0.1.0
0000007f915e9000       8       8       8       0  r--p  /usr/lib/libwayland-server.so.0.1.0
0000007f915eb000       4       4       4       0  rw-p  /usr/lib/libwayland-server.so.0.1.0
0000007f915ec000     540     396       0       0  r-xp  /usr/lib/liborc-0.4.so.0.25.0
