Mode    Mapping                                                           Kbytes    PSS  Dirty
0       ---p /lib/libz.so.1.2.11                                              64      0      0
0       ---p /lib/libc-2.31.so                                                64      0      0
0       ---p /usr/lib/libstdc++.so.6.0.29                                     64      0      0
0       ---p /app/lib/libspdlog.so.1.14.1                                     64      0      0
0       ---p /app/lib/libfast.so.1.0.0                                        64      0      0
0       ---p /app/lib/libdeviceclient.so.1.0.0                                64      0      0
0       ---p /app/lib/libappmgrProxy.so.0.0.1                                 64      0      0
0       ---p /app/lib/libengineeringProxy.so.0.0.1                            64      0      0
0       ---p /app/lib/libkeylocater.so.0.0.1                                  64      0      0
0       ---p /app/lib/libkeyhandler.so.0.0.1                                  64      0      0
0       ---p /app/lib/libnavigation.so.1.0.0                                  64      0      0
0       ---p /app/lib/libwifi.so.1.0.0                                        64      0      0
0       ---p /app/lib/libgestures.so.1.0.0                                    64      0      0
0       ---p /usr/lib/libtinyxml2.so.8.0.0                                    64      0      0
0       ---p /app/lib/libdeviceappclient.so.1.0.0                             64      0      0
0       ---p /app/lib/libsystem.so.1.0.0                                      64      0      0
0       ---p /app/lib/libaa.so.0.0.1                                          64      0      0
0       ---p /app/lib/libcarplay.so.1.0.0                                     64      0      0
0       ---p /app/lib/libconfig.so.1.0.0                                      64      0      0
0       ---p /app/lib/libaudio.so.1.0.0                                       64      0      0
0       ---p /app/lib/libmedia-player.so.1.0.0                                64      0      0
0       ---p /usr/lib/libboost_filesystem.so.1.72.0                           64      0      0
0       ---p /app/lib/libfile-explorer.so.1.0.0                               64      0      0
0       ---p /app/lib/libsource.so.1.0.0                                      64      0      0
0       ---p /app/lib/libpersist.so.0.0.1                                     64      0      0
0       ---p /app/lib/libbasic.so.1.0.0                                       64      0      0
0       ---p /app/lib/libFantasy.so.0.0.0                                     64      0      0
0       ---p /app/lib/libframework.so.0.0.1                                   64      0      0
0       ---p /usr/lib/libprotobuf.so.22.0.4                                   64      0      0
0       ---p /usr/lib/libvorbisenc.so.2.0.11                                  60      0      0
0       ---p /lib/libavcodec.so.58.54.100                                     60      0      0
0       ---p /usr/lib/gstreamer-1.0/libgstapetag.so                           60      0      0
0       ---p /usr/lib/libgstriff-1.0.so.0.1603.0                              60      0      0
0       ---p /usr/lib/libvorbis.so.0.4.8                                      60      0      0
0       ---p /usr/lib/gstreamer-1.0/libgstvorbis.so                           60      0      0
0       ---p /usr/lib/libtheoradec.so.1.1.4                                   60      0      0
0       ---p /usr/lib/libtheoraenc.so.1.1.2                                   60      0      0
0       ---p /usr/lib/libbz2.so.1.0.8                                         60      0      0
0       ---p /lib/libswscale.so.5.5.100                                       60      0      0
0       ---p /lib/libavutil.so.56.31.100                                      60      0      0
0       ---p /lib/libavformat.so.58.29.100                                    60      0      0
0       ---p /lib/libavfilter.so.7.57.100                                     60      0      0
0       ---p /usr/lib/gstreamer-1.0/libgstlibav.so                            60      0      0
0       ---p /usr/lib/gstreamer-1.0/libgstid3demux.so                         60      0      0
